timestamp,device_id,npu_aicore_pct,npu_hbm_mb,npu_power_w,npu_temp_c,host_used_kb
2026-08-07T21:28:07.252+00:00,0,36,51257,230.7,51,122522816
2026-08-07T21:28:07.252+00:00,1,0,45292,,52,122522816
2026-08-07T21:28:08.808+00:00,0,64,51258,271.0,60,122542968
2026-08-07T21:28:08.808+00:00,1,0,45292,,51,122542968
2026-08-07T21:28:10.368+00:00,0,69,51258,270.2,59,122567176
2026-08-07T21:28:10.368+00:00,1,0,45292,,51,122567176
2026-08-07T21:28:11.963+00:00,0,69,51257,276.7,59,122541204
2026-08-07T21:28:11.963+00:00,1,0,45292,,51,122541204
2026-08-07T21:28:13.517+00:00,0,69,51257,278.9,60,122545336
2026-08-07T21:28:13.517+00:00,1,0,45292,,51,122545336
2026-08-07T21:28:15.071+00:00,0,69,51257,272.9,60,122556240
2026-08-07T21:28:15.071+00:00,1,0,45292,,51,122556240
2026-08-07T21:28:16.626+00:00,0,69,51258,265.3,60,122539736
2026-08-07T21:28:16.626+00:00,1,0,45292,,51,122539736
2026-08-07T21:28:18.179+00:00,0,69,51257,281.0,59,122516308
2026-08-07T21:28:18.179+00:00,1,0,45292,,51,122516308
2026-08-07T21:28:19.730+00:00,0,69,51257,279.5,58,122579916
2026-08-07T21:28:19.730+00:00,1,0,45292,,52,122579916
2026-08-07T21:28:21.285+00:00,0,70,51257,282.3,58,122562600
2026-08-07T21:28:21.285+00:00,1,0,45292,,51,122562600
2026-08-07T21:28:22.849+00:00,0,68,51257,277.4,58,122578296
2026-08-07T21:28:22.849+00:00,1,0,45292,,51,122578296
2026-08-07T21:28:24.408+00:00,0,40,51258,255.4,55,122582292
2026-08-07T21:28:24.408+00:00,1,0,45292,,51,122582292
2026-08-07T21:28:25.964+00:00,0,59,51258,267.4,60,122584464
2026-08-07T21:28:25.964+00:00,1,0,45292,,51,122584464
2026-08-07T21:28:27.532+00:00,0,69,51258,272.8,60,122575052
2026-08-07T21:28:27.532+00:00,1,0,45292,,51,122575052
2026-08-07T21:28:29.144+00:00,0,71,51258,275.2,59,122587792
2026-08-07T21:28:29.144+00:00,1,0,45292,,52,122587792
2026-08-07T21:28:30.712+00:00,0,0,51258,187.2,51,122541768
2026-08-07T21:28:30.712+00:00,1,0,45292,,51,122541768
